tbl_poc_cmf_activosbanco1_mes.instituciones,tbl_poc_cmf_activosbanco1_mes.producto,tbl_poc_cmf_activosbanco1_mes.monto,tbl_poc_cmf_activosbanco1_mes.mdm_fhnew,tbl_poc_cmf_activosbanco1_mes.mdm_processnew,tbl_poc_cmf_activosbanco1_mes.mdm_hash,tbl_poc_cmf_activosbanco1_mes.periodo_mes
Banco Internacional,Colocaciones (1),1944270.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,caa4828a09b3d410541d8dfc57c4d0d5803ff6ef84547a33702a7846709c6840,2019-10-01
Banco Ripley,Colocaciones (1),897686.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,d29d1e2fd8bf3e2bcd0a16a42bd6daa6c3f3263a4b77d5ffd18d56e5bf60aabb,2019-10-01
Banco Santander-Chile,Colocaciones (1),32221791.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,a737a8413027ea004b4f23e6741865ef9a39cf589c2684ac1eb91a642b2b22dc,2019-10-01
Banco Security,Colocaciones (1),5891748.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,bc9d17dd334ff7187aa0ffac1ca685d6094ab5df5df5bd1256e92cf3f2000d22,2019-10-01
"Bank of China, Agencia en Chile",Colocaciones (1),0.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,11909dbc7dbf5f36d8631656699415c90b67e6cb30f9fdd8349a258de93eae82,2019-10-01
"China Construction Bank, Agencia en Chile",Colocaciones (1),184861.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,5105198f35f429b057b92d423b6a00b8d658cf860f37e0d1bec8bb907a4c1db4,2019-10-01
HSBC Bank (Chile),Colocaciones (1),254396.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,903e87e379ee1165daee5b2e42ee5654c6bd249e141f740536b3bd14117a32d8,2019-10-01
Ita� Corpbanca,Colocaciones (1),22832719.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,c14e2243e0d6bbb2399fa0ead3f335bb219b4e9c3b3a704e6f53bf10e3272a1d,2019-10-01
"JP Morgan Chase Bank, N.A.",Colocaciones (1),0.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,a91fa30af2c05591dc78ba1379a51dea753a75c450569e69d40d8ad85d0be7f0,2019-10-01
Scotiabank Chile,Colocaciones (1),24506600.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,3cd31a5171378e4321052f476f93bb2ffe8a9f1231762c2857004598f80f7d56,2019-10-01
Banco Bice,Efectivo y dep�sitos en bancos,558568.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,efbfde351bb189e3f3d4f069d336d4f81b0d0ba10698c88b61eaa9b6fa918e4e,2019-10-01
Banco BTG Pactual Chile,Efectivo y dep�sitos en bancos,63025.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,60617fddccc2173779aad0f4b06eefc68c443b6be15bdb8920d656c086703f48,2019-10-01
