tbl_poc_cmf_activosbanco2_mes.instituciones,tbl_poc_cmf_activosbanco2_mes.producto,tbl_poc_cmf_activosbanco2_mes.monto,tbl_poc_cmf_activosbanco2_mes.mdm_fhnew,tbl_poc_cmf_activosbanco2_mes.mdm_processnew,tbl_poc_cmf_activosbanco2_mes.mdm_hash,tbl_poc_cmf_activosbanco2_mes.periodo_mes
Banco Internacional,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,987abe3e803df319fb8816ba264051755f4dce91d29850af6dde28dc151d98ca,9/1/2019
Banco Ripley,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,832d2a9d1563fb5c2f46e5d876857ac56bb802ded07a1c84cf15c0ce12f10e88,9/1/2019
Banco Santander-Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,746d0a516bdeb40c96e830b05d6e7a2281dedb29ddab142ab5a7967809e9c953,9/1/2019
Banco Security,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,957a6f6e951320b97620a2f2f48fe8e5ac3718f51fcb05950214a9bed2904043,9/1/2019
"Bank of China, Agencia en Chile",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,d8a39278cc471683ad705b323978e9ceaaab85c91d5e302d3d6b5cf6593e74ad,9/1/2019
"China Construction Bank, Agencia en Chile",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,5420,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,34f48e1b1207de020eb7ad76867b371eb8ae8a77530dd2b00619102931858131,9/1/2019
HSBC Bank (Chile),Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,17495,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,15a593603f230c34ac4e15250c66ebff003048f0c8669a7455c965deac230aeb,9/1/2019
Ita� Corpbanca,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,b170fffd2b00c73ce253a3ce314c9b3e53244350de3cbec55771c7ae3a2a6ff3,9/1/2019
"JP Morgan Chase Bank, N.A.",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,022c52debb3d85e1637aeabe69823f2a0096bc02647c7acb08a05242033c1f87,9/1/2019
Scotiabank Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Pr�stamos interbancarios,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,fbae17cc95435d6f1c1383b3af05c981670311fdb04200a9f7bdfda10bb1c85a,9/1/2019
