periodo_mes||institucion_nom||producto_nom||activo_mon||activo_mon_mes_ant
201909||Banco Bice||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Créditos de comercio exterior||0.00||0.00
201909||Banco Ripley||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||96220.00||0.00
201909||Banco Security||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior||1137.00||0.00
201909||China Construction Bank, Agencia en Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||5420.00||0.00
201909||Banco Security||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||684732.00||0.00
201909||JP Morgan Chase Bank, N.A.||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Total (1)||0.00||0.00
201909||Banco Falabella||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||210904.00||0.00
201909||China Construction Bank, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Provisiones||1758.00||0.00
201909||Banco del Estado de Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Provisiones||164450.00||0.00
201909||Scotiabank Chile||Colocaciones||24444956.00||0.00
201909||JP Morgan Chase Bank, N.A.||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||0.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||820261.00||0.00
201909||Banco Bice||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||0.00||0.00
201909||Itaú Corpbanca||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país||0.00||0.00
201909||Banco Security||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país||1.00||0.00
201909||Banco Ripley||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||96114.00||0.00
201909||Banco del Estado de Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||360922.00||0.00
201909||Banco do Brasil S.A.||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior||0.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Total||0.00||0.00
201909||Banco de Chile||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Colocaciones||16181776.00||0.00
201909||Banco BTG Pactual Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||0.00||0.00
201909||Scotiabank Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país||0.00||0.00
201909||Banco Ripley||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Créditos de comercio exterior||0.00||0.00
201909||Itaú Corpbanca||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Préstamos interbancarios||47012.00||0.00
201909||Banco Consorcio||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||30000.00||0.00
201909||Banco de Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Tarjetas de crédito||1156078.00||0.00
201909||Itaú Corpbanca||Activos/Créditos y cuentas por cobrar a clientes /Personas/Total||7354862.00||0.00
201909||JP Morgan Chase Bank, N.A.||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||0.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||0.00||0.00
201909||Banco Falabella||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Otros||57968.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||0.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||0.00||0.00
201909||HSBC Bank (Chile)||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||17495.00||0.00
201909||Banco de Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||100000.00||0.00
201909||JP Morgan Chase Bank, N.A.||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Provisiones||0.00||0.00
201909||Banco Consorcio||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||30000.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||649598.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Provisiones para créditos con bancos del exterior||0.00||0.00
201909||JP Morgan Chase Bank, N.A.||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/En cuotas||0.00||0.00
201909||Banco Security||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||22528.00||0.00
201909||Banco Security||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Tarjetas de crédito||119839.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||0.00||0.00
201909||Banco Consorcio||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Préstamos interbancarios||0.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Provisiones||0.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Total (1)||0.00||0.00
201909||Banco Santander-Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||0.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||0.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/En cuotas||2390950.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Otros||253138.00||0.00
201909||Banco Internacional||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Créditos de comercio exterior||0.00||0.00
201909||Banco Internacional||Activos/Créditos y cuentas por cobrar a clientes /Personas/Total||44268.00||0.00
201909||Scotiabank Chile||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||526586.00||0.00
201909||Scotiabank Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||248515.00||0.00
201909||HSBC Bank (Chile)||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||17495.00||0.00
201909||Banco Ripley||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||0.00||0.00
201909||HSBC Bank (Chile)||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior||0.00||0.00
201909||Banco Falabella||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||0.00||0.00
201909||HSBC Bank (Chile)||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||1.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior||0.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Préstamos interbancarios||345364.00||0.00
201909||Itaú Corpbanca||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Total||2708607.00||0.00
201909||Banco del Estado de Chile||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||25065604.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Provisiones||498808.00||0.00
