tbl_poc_cmf_activosbanco1_mes.instituciones,tbl_poc_cmf_activosbanco1_mes.producto,tbl_poc_cmf_activosbanco1_mes.monto,tbl_poc_cmf_activosbanco1_mes.mdm_fhnew,tbl_poc_cmf_activosbanco1_mes.mdm_processnew,tbl_poc_cmf_activosbanco1_mes.mdm_hash,tbl_poc_cmf_activosbanco1_mes.periodo_mes
Banco Security,Instrumentos financieros no derivados,721851.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,4aba789ee805adebf7970432b2f9f39272190fcd75b241ba3d62f87bb2e3c7dc,2019-09-01
"Bank of China, Agencia en Chile",Instrumentos financieros no derivados,38023.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,6f71ea55d139c7ad6acf96137d3df8242e72200da691b33994a63145bfea4ae9,2019-09-01
"China Construction Bank, Agencia en Chile",Instrumentos financieros no derivados,9404.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,92d8245f656fb159233423d9655c4997df255404ff9297c90e4dba161d1e4a71,2019-09-01
HSBC Bank (Chile),Instrumentos financieros no derivados,438576.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,6f993178804b7a9a62de9053544382594eac91835bf4a4d66a24593f53b69d38,2019-09-01
Ita� Corpbanca,Instrumentos financieros no derivados,2961987.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,229c99299565d9b5194a2339d8b4038784ec1ca18a0eeb344d9d1c01b5d486e9,2019-09-01
"JP Morgan Chase Bank, N.A.",Instrumentos financieros no derivados,244111.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,613640ea037c3227e20313fecfe278602c7c1718f4c926da83a80e406eb4ffa9,2019-09-01
Scotiabank Chile,Instrumentos financieros no derivados,1141498.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,7fbb9e993f8e2dc47e4946a13938b63533b5d09f05433dfdf11641e49427a6ff,2019-09-01
Banco Bice,Instrumentos financieros derivados,117335.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,b58d50ecce7383e4eb93f3a2736777c89bc80950f559a02412f36736dc95f77d,2019-09-01
Banco BTG Pactual Chile,Instrumentos financieros derivados,69453.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,0f179fa83e25ccc84077d53ace7f6eeb9c5b0f0b25210783e56331d8d062b722,2019-09-01
Banco Consorcio,Instrumentos financieros derivados,58998.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,11904eb35bf8a3012e31411e6fff0551d7a1c90fb12fdab7a1a57f71872d0b66,2019-09-01
Banco de Chile,Instrumentos financieros derivados,2544156.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,a0e8d81b9dffe5a957e86a04e886db96fe2e0e71afc13a9d0b529bb87c064b52,2019-09-01
Banco de Cr�dito e Inversiones,Instrumentos financieros derivados,3995331.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,957a53503181bba629455d92fa996bc4e39778156523c26d841b740d2260a429,2019-09-01
Banco del Estado de Chile,Instrumentos financieros derivados,1364700.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,209267d8e5208330084cabf47712bd4975c6a2b5d318c1da65704c1ec8731fd5,2019-09-01
Banco do Brasil S.A.,Instrumentos financieros derivados,0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,257458823c1488b6a310daf2d2292b23ccec6b32d7e8774c326cd3a42d67abee,2019-09-01
Banco Falabella,Instrumentos financieros derivados,301821.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,4ae9f9a1ec0d5ab89f80fd9b4b89495867e016ef6a6b298f5c7b074c00987697,2019-09-01
Banco Internacional,Instrumentos financieros derivados,366114.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,9a59beddcb87d3a0101242d6d85cd76b1160eb7ec3e7dd486bacedf71e5d0cc2,2019-09-01
Banco Ripley,Instrumentos financieros derivados,13542.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,11887e7391c0480d07a57d0cb959188154e5aba244a5f1b92c989196c48c4526,2019-09-01
Banco Santander-Chile,Instrumentos financieros derivados,7304132.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,75998a23934d438561d678ebfb92526dd0d0110b3f7da13aea33b2bdf2a6603c,2019-09-01
Banco Security,Instrumentos financieros derivados,255462.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,3c56ad9a67ff9717794f1dff5a7388e6e001d35862c930598d8e207780bf7ee8,2019-09-01
"Bank of China, Agencia en Chile",Instrumentos financieros derivados,0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,d566204e7539f9757ce85d0a22887457d77aed0eb82a44fc3d10f0570654f9a5,2019-09-01
